time,acc,bicycling,mixed,sit-stand,sleep,vehicle,walking,CpSB,CpLPA,CpMPA,CpVPA,CpMVPA,MET
2024-07-05 13:06:09.712000+0000 [UTC],122.111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:06:39.712000+0000 [UTC],151.85999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:07:09.712000+0000 [UTC],164.329,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:07:39.712000+0000 [UTC],183.911,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:08:09.712000+0000 [UTC],147.981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:08:39.712000+0000 [UTC],168.76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:09:09.712000+0000 [UTC],139.564,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:09:39.712000+0000 [UTC],111.978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:10:09.712000+0000 [UTC],197.865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:10:39.712000+0000 [UTC],203.809,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:11:09.712000+0000 [UTC],146.677,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.09
2024-07-05 13:11:39.712000+0000 [UTC],71.782,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.09
2024-07-05 13:12:09.712000+0000 [UTC],15.073,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.09
2024-07-05 13:12:39.712000+0000 [UTC],24.497999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.09
2024-07-05 13:13:09.712000+0000 [UTC],94.03200000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2024-07-05 13:13:39.712000+0000 [UTC],102.468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:14:09.712000+0000 [UTC],97.744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2024-07-05 13:14:39.712000+0000 [UTC],76.322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2024-07-05 13:15:09.712000+0000 [UTC],134.393,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:15:39.712000+0000 [UTC],143.16799999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:16:09.712000+0000 [UTC],102.93599999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:16:39.712000+0000 [UTC],72.065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2024-07-05 13:17:09.712000+0000 [UTC],91.828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2024-07-05 13:17:39.712000+0000 [UTC],163.257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:18:09.712000+0000 [UTC],115.96900000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:18:39.712000+0000 [UTC],134.78799999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:19:09.712000+0000 [UTC],244.114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:19:39.712000+0000 [UTC],122.482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:20:09.712000+0000 [UTC],112.83999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:20:39.712000+0000 [UTC],107.595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
2024-07-05 13:21:09.712000+0000 [UTC],124.016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
